timestamp,lat,lon,altitude_agl,vertical_velocity,y_acc,gyr_y,pyro_state,sats,flight_state,battery_voltage
15108,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1888
15166,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
15206,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
15266,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1888
15306,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1744
15346,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1888
15406,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1888
15446,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1744
15506,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
15546,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
15586,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1888
15646,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
15686,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1888
15746,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
15786,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
15826,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
15886,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
15926,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
15986,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16026,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1888
16066,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16126,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16166,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16226,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16266,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16306,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16366,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16406,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16466,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16506,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16546,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16606,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1324
16646,0,0,0.0,0.0,0.0,0.0,8,0,0,9.2096
16706,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16746,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16786,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16846,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16886,0,0,0.0,0.0,0.0,0.0,8,0,0,9.2096
16946,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
16986,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
17026,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
17086,0,0,0.0,0.0,0.0,0.0,8,0,0,9.2096
17126,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
17186,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
17226,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
17266,0,0,0.0,0.0,0.0,0.0,8,0,0,9.2096
17326,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
17366,0,0,0.0,0.0,0.0,0.0,8,0,0,9.2096
17426,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1888
17466,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1888
17506,0,0,0.0,0.0,0.0,0.0,8,0,0,9.2096
17566,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
17606,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
17666,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
17706,0,0,0.0,0.0,0.0,0.0,8,0,0,9.2096
17746,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
17806,0,0,0.0,0.0,0.0,0.0,8,0,0,9.2168
17846,0,0,0.0,0.0,0.0,0.0,8,0,0,9.2096
17906,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
17946,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
17986,0,0,0.0,0.0,0.0,0.0,8,0,0,9.2096
18046,0,0,0.0,0.0,0.0,0.0,8,0,0,9.2096
18086,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
18146,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
18186,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
18226,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
18286,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1744
18326,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
18386,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1744
18426,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1888
18466,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
18526,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
18566,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
18626,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
18666,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
18706,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
18766,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1956
18806,0,0,0.0,0.0,0.0,0.0,8,0,0,9.1112
